congress,bill_id_clean,predicted_category
116,hr2157,Technology
116,hr2196,Technology
116,hr2151,Technology
116,s1069,Technology
116,hr2246,Technology
116,s1130,Technology
116,hr2336,Technology
116,s1196,Technology
116,hr2325,Technology
116,hr2334,Technology
116,hr2333,Technology
116,hr2385,Technology
116,hr2372,Technology
116,hr2359,Technology
116,s1153,Technology
116,hr2423,Technology
116,hr2451,Technology
116,hr2476,Technology
116,hr2454,Technology
116,hr2444,Technology
116,s1310,Technology
116,hr2502,Technology
116,s1379,Technology
116,s1321,Technology
116,s1380,Technology
116,s1342,Technology
116,s1436,Technology
116,hr2695,Technology
116,hr2744,Technology
116,s1693,Technology
116,hr2940,Technology
116,hr2938,Technology
116,s1689,Technology
116,s1678,Technology
116,s1646,Technology
116,hr2969,Technology
116,hr3005,Technology
116,s1694,Technology
116,hr3151,Technology
116,s1749,Technology
116,hr3055,Technology
116,hr3144,Technology
116,hr3153,Technology
116,hr3245,Technology
116,s1838,Technology
116,s1790,Technology
116,hr3196,Technology
116,s1822,Technology
116,hr3207,Technology
116,s1869,Technology
116,hr3250,Technology
116,hr3401,Technology
116,hr3253,Technology
116,hr3305,Technology
116,hr3304,Technology
116,hr3311,Technology
116,hr3314,Technology
116,hr3399,Technology
116,hr3317,Technology
116,hr3329,Technology
116,hr3275,Technology
116,hr3349,Technology
116,s2047,Technology
116,hr3504,Technology
116,s1982,Technology
116,hr3465,Technology
116,s2107,Technology
116,hr3589,Technology
116,hr3680,Technology
116,s2163,Technology
116,s2193,Technology
116,s2174,Technology
116,hr3877,Technology
116,s2249,Technology
116,hr3889,Technology
116,hr3847,Technology
116,hr3870,Technology
116,s2258,Technology
116,s2216,Technology
116,s2330,Technology
116,hr4104,Technology
116,hr4034,Technology
116,hr3976,Technology
116,hr4031,Technology
116,hr4044,Technology
116,hr4183,Technology
116,hr4200,Technology
116,hr4378,Technology
116,hr4285,Technology
116,hr4258,Technology
116,hr4334,Technology
116,hr4279,Technology
116,s2472,Technology
116,hr4356,Technology
116,hr4566,Technology
116,hr4672,Technology
116,hr4508,Technology
116,hr4771,Technology
116,s2661,Technology
116,hr4779,Technology
116,s2638,Technology
116,hr4734,Technology
116,hr4794,Technology
116,hr4725,Technology
116,hr4785,Technology
116,hr4761,Technology
116,s2683,Technology
116,hr4704,Technology
116,s2710,Technology
116,hr4803,Technology
116,s2746,Technology
116,hr4920,Technology
116,hr4875,Technology
116,s2730,Technology
116,hr4998,Technology
116,hr4981,Technology
116,hr5037,Technology
116,hr4975,Technology
116,hr4971,Technology
116,hr4983,Technology
116,hr4988,Technology
116,hr5023,Technology
116,hr5062,Technology
116,s2904,Technology
116,hr5123,Technology
116,hr5126,Technology
116,hr5277,Technology
116,hr5214,Technology
116,hr5307,Technology
116,hr5317,Technology
116,s2981,Technology
116,hr5273,Technology
116,hr5363,Technology
116,hjres80,Healthcare
116,s3051,Technology
116,hr5384,Technology
116,sjres65,Technology
116,sjres67,Technology
116,sjres66,Technology
116,s3084,Technology
116,s3105,Technology
116,s3147,Technology
116,hr5451,Technology
116,hr5458,Technology
116,hr5459,Technology
116,hr5472,Technology
116,s3201,Technology
116,hr5671,Technology
116,hr5597,Technology
116,hr5663,Technology
116,s3257,Technology
116,hr5901,Technology
116,hr5954,Technology
116,s3312,Technology
116,hr5852,Technology
116,hr5972,Technology
116,hr5983,Technology
116,hr6074,Technology
116,s3414,Technology
116,hr6016,Technology
116,hr6100,Technology
116,hr6168,Technology
116,s3462,Technology
116,s3461,Technology
116,s3418,Technology
116,hr6161,Technology
116,hr6192,Technology
116,hr6237,Technology
116,s3503,Technology
116,hr6322,Technology
116,s3587,Technology
116,hr6418,Technology
116,hr6435,Technology
116,hr6535,Technology
116,s3607,Technology
