member,bioguide_id,party,state,Immigration_total_score,Immigration_vote_totals,Immigration_mean_score,Immigration_final_score,Healthcare_total_score,Healthcare_vote_totals,Healthcare_mean_score,Healthcare_final_score,Taxes_spending_budget_total_score,Taxes_spending_budget_vote_totals,Taxes_spending_budget_mean_score,Taxes_spending_budget_final_score,Education_total_score,Education_vote_totals,Education_mean_score,Education_final_score,Climate_environment_total_score,Climate_environment_vote_totals,Climate_environment_mean_score,Climate_environment_final_score,Nominations_total_score,Nominations_vote_totals,Nominations_mean_score,Nominations_final_score,Entitlements_welfare_total_score,Entitlements_welfare_vote_totals,Entitlements_welfare_mean_score,Entitlements_welfare_final_score,Military_national_security_total_score,Military_national_security_vote_totals,Military_national_security_mean_score,Military_national_security_final_score,Technology_total_score,Technology_vote_totals,Technology_mean_score,Technology_final_score,Business_employment_total_score,Business_employment_vote_totals,Business_employment_mean_score,Business_employment_final_score,Miscellaneous_total_score,Miscellaneous_vote_totals,Miscellaneous_mean_score,Miscellaneous_final_score
Conway,C001128,R,CA,0,1,0.0,-100.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.0,-100.0,1,1,1.0,100.0,5,5,1.0,100.0,5,6,0.833333,66.6667,4,9,0.444444,-11.1111,3,3,1.0,100.0,0,0,0.0,0.0
Cooper,C000754,D,TN,0,7,0.0,-100.0,0,6,0.0,-100.0,0,5,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,10,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Correa,C001110,D,CA,0,12,0.0,-100.0,3,15,0.2,-60.0,1,12,0.083333,-83.3333,4,27,0.148148,-70.3704,1,11,0.090909,-81.8182,1,17,0.058824,-88.2353,0,21,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,21,0.190476,-61.9048
Costa,C001059,D,CA,0,12,0.0,-100.0,6,15,0.4,-20.0,4,12,0.333333,-33.3333,7,27,0.259259,-48.1481,1,11,0.090909,-81.8182,6,20,0.3,-40.0,0,22,0.0,-100.0,1,23,0.043478,-91.3043,0,24,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Courtney,C001069,D,CT,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Craig,C001119,D,MN,3,12,0.25,-50.0,3,15,0.2,-60.0,1,12,0.083333,-83.3333,4,27,0.148148,-70.3704,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Crawford,C001087,R,AR,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,10,11,0.909091,81.8182,20,20,1.0,100.0,21,21,1.0,100.0,22,23,0.956522,91.3043,17,22,0.772727,54.5455,8,10,0.8,60.0,23,23,1.0,100.0
Crenshaw,C001120,R,TX,10,12,0.833333,66.6667,15,15,1.0,100.0,10,12,0.833333,66.6667,26,27,0.962963,92.5926,8,10,0.8,60.0,19,19,1.0,100.0,20,20,1.0,100.0,21,23,0.913043,82.6087,23,26,0.884615,76.9231,10,10,1.0,100.0,19,19,1.0,100.0
Crow,C001121,D,CO,0,12,0.0,-100.0,0,15,0.0,-100.0,0,11,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,20,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Cuellar,C001063,D,TX,2,12,0.166667,-66.6667,6,15,0.4,-20.0,4,12,0.333333,-33.3333,16,27,0.592593,18.5185,2,11,0.181818,-63.6364,10,20,0.5,0.0,6,22,0.272727,-45.4545,8,24,0.333333,-33.3333,3,26,0.115385,-76.9231,1,10,0.1,-80.0,7,23,0.304348,-39.1304
Curtis,C001114,R,UT,10,10,1.0,100.0,7,7,1.0,100.0,6,7,0.857143,71.4286,8,8,1.0,100.0,8,9,0.888889,77.7778,6,6,1.0,100.0,10,12,0.833333,66.6667,12,12,1.0,100.0,16,19,0.842105,68.4211,7,9,0.777778,55.5556,9,9,1.0,100.0
Davids (KS),D000629,D,KS,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Davidson,D000626,R,OH,12,12,1.0,100.0,15,15,1.0,100.0,10,10,1.0,100.0,25,27,0.925926,85.1852,10,11,0.909091,81.8182,19,19,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,24,24,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
"Davis, Danny K.",D000096,D,IL,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
"Davis, Rodney",D000619,R,IL,2,7,0.285714,-42.8571,2,6,0.333333,-33.3333,4,6,0.666667,33.3333,4,6,0.666667,33.3333,5,7,0.714286,42.8571,3,6,0.5,0.0,10,12,0.833333,66.6667,5,11,0.454545,-9.0909,11,16,0.6875,37.5,7,9,0.777778,55.5556,4,7,0.571429,14.2857
Dean,D000631,D,PA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
DeFazio,D000191,D,OR,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,2,6,0.333333,-33.3333,0,12,0.0,-100.0,0,11,0.0,-100.0,1,19,0.052632,-89.4737,0,9,0.0,-100.0,0,7,0.0,-100.0
DeGette,D000197,D,CO,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,18,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,25,0.0,-100.0,0,10,0.0,-100.0,0,21,0.0,-100.0
DeLauro,D000216,D,CT,0,10,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,4,22,0.181818,-63.6364
DelBene,D000617,D,WA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Demings,D000627,D,FL,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
DeSaulnier,D000623,D,CA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
DesJarlais,D000616,R,TN,11,12,0.916667,83.3333,15,15,1.0,100.0,10,12,0.833333,66.6667,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,24,24,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
Diaz-Balart,D000600,R,FL,9,12,0.75,50.0,9,14,0.642857,28.5714,8,10,0.8,60.0,24,27,0.888889,77.7778,8,11,0.727273,45.4545,14,17,0.823529,64.7059,21,22,0.954545,90.9091,18,22,0.818182,63.6364,18,25,0.72,44.0,8,10,0.8,60.0,20,23,0.869565,73.913
Dingell,D000624,D,MI,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Doggett,D000399,D,TX,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,1,26,0.038462,-92.3077,0,11,0.0,-100.0,1,20,0.05,-90.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,0,26,0.0,-100.0,0,10,0.0,-100.0,2,21,0.095238,-80.9524
Donalds,D000032,R,FL,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,10,11,0.909091,81.8182,17,17,1.0,100.0,21,21,1.0,100.0,20,20,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,17,19,0.894737,78.9474
"Doyle, Michael F.",D000482,D,PA,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,4,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,10,0.0,-100.0,0,16,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Duncan,D000615,R,SC,9,10,0.9,80.0,6,6,1.0,100.0,5,7,0.714286,42.8571,6,6,1.0,100.0,9,9,1.0,100.0,6,6,1.0,100.0,12,12,1.0,100.0,12,13,0.923077,84.6154,19,21,0.904762,80.9524,9,9,1.0,100.0,9,9,1.0,100.0
Dunn,D000628,R,FL,9,10,0.9,80.0,13,15,0.866667,73.3333,11,11,1.0,100.0,25,26,0.961538,92.3077,10,11,0.909091,81.8182,20,20,1.0,100.0,21,22,0.954545,90.9091,22,24,0.916667,83.3333,24,26,0.923077,84.6154,8,10,0.8,60.0,21,21,1.0,100.0
Ellzey,E000071,R,TX,5,6,0.833333,66.6667,12,12,1.0,100.0,7,7,1.0,100.0,23,23,1.0,100.0,6,9,0.666667,33.3333,17,17,1.0,100.0,19,19,1.0,100.0,19,19,1.0,100.0,19,22,0.863636,72.7273,8,10,0.8,60.0,19,19,1.0,100.0
Emmer,E000294,R,MN,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,19,20,0.95,90.0,22,22,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,21,23,0.913043,82.6087
Escobar,E000299,D,TX,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,1,20,0.05,-90.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Eshoo,E000215,D,CA,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,13,0.076923,-84.6154,0,21,0.0,-100.0,0,9,0.0,-100.0,2,9,0.222222,-55.5556
Espaillat,E000297,D,NY,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,11,0.090909,-81.8182,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,1,20,0.05,-90.0,0,20,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Estes,E000298,R,KS,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,24,0.958333,91.6667,24,26,0.923077,84.6154,10,10,1.0,100.0,23,23,1.0,100.0
Evans,E000296,D,PA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,11,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,10,0.0,-100.0,0,21,0.0,-100.0
Fallon,F000246,R,TX,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Feenstra,F000446,R,IA,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,21,22,0.954545,90.9091,18,23,0.782609,56.5217,10,10,1.0,100.0,20,20,1.0,100.0
Ferguson,F000465,R,GA,10,10,1.0,100.0,7,7,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,9,9,1.0,100.0,5,6,0.833333,66.6667,11,12,0.916667,83.3333,12,13,0.923077,84.6154,17,21,0.809524,61.9048,9,9,1.0,100.0,7,9,0.777778,55.5556
Finstad,F000475,R,MN,6,6,1.0,100.0,9,9,1.0,100.0,7,7,1.0,100.0,22,22,1.0,100.0,6,6,1.0,100.0,15,15,1.0,100.0,15,15,1.0,100.0,18,19,0.947368,89.4737,14,16,0.875,75.0,4,4,1.0,100.0,14,14,1.0,100.0
Fischbach,F000470,R,MN,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,20,22,0.909091,81.8182,19,23,0.826087,65.2174,10,10,1.0,100.0,20,20,1.0,100.0
Fitzgerald,F000471,R,WI,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,21,22,0.954545,90.9091,21,23,0.913043,82.6087,10,10,1.0,100.0,20,20,1.0,100.0
Fitzpatrick,F000466,R,PA,3,12,0.25,-50.0,6,15,0.4,-20.0,5,12,0.416667,-16.6667,14,27,0.518519,3.7037,6,11,0.545455,9.0909,10,20,0.5,0.0,8,22,0.363636,-27.2727,13,24,0.541667,8.3333,15,26,0.576923,15.3846,3,10,0.3,-40.0,11,23,0.478261,-4.3478
Fleischmann,F000459,R,TN,11,12,0.916667,83.3333,14,15,0.933333,86.6667,10,12,0.833333,66.6667,26,27,0.962963,92.5926,10,11,0.909091,81.8182,17,20,0.85,70.0,21,22,0.954545,90.9091,21,24,0.875,75.0,22,26,0.846154,69.2308,8,10,0.8,60.0,21,23,0.913043,82.6087
Fletcher,F000468,D,TX,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Flood,F000474,R,NE,6,6,1.0,100.0,9,9,1.0,100.0,7,7,1.0,100.0,22,22,1.0,100.0,6,6,1.0,100.0,15,15,1.0,100.0,17,17,1.0,100.0,18,19,0.947368,89.4737,11,16,0.6875,37.5,6,6,1.0,100.0,16,16,1.0,100.0
Flores,F000473,R,TX,0,1,0.0,-100.0,0,0,0.0,0.0,1,1,1.0,100.0,1,1,1.0,100.0,0,2,0.0,-100.0,1,1,1.0,100.0,9,9,1.0,100.0,6,6,1.0,100.0,7,10,0.7,40.0,5,5,1.0,100.0,0,0,0.0,0.0
Foster,F000454,D,IL,0,12,0.0,-100.0,0,15,0.0,-100.0,0,11,0.0,-100.0,0,27,0.0,-100.0,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,20,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Foxx,F000450,R,NC,8,10,0.8,60.0,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,26,1.0,100.0,10,11,0.909091,81.8182,19,20,0.95,90.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,8,10,0.8,60.0,21,23,0.913043,82.6087
"Frankel, Lois",F000462,D,FL,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,21,0.047619,-90.4762,0,26,0.0,-100.0,0,10,0.0,-100.0,2,20,0.1,-80.0
"Franklin, C. Scott",F000472,R,FL,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,10,11,0.909091,81.8182,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,8,10,0.8,60.0,20,20,1.0,100.0
Fulcher,F000469,R,ID,12,12,1.0,100.0,15,15,1.0,100.0,11,11,1.0,100.0,25,27,0.925926,85.1852,8,9,0.888889,77.7778,19,20,0.95,90.0,20,20,1.0,100.0,23,24,0.958333,91.6667,24,26,0.923077,84.6154,10,10,1.0,100.0,20,22,0.909091,81.8182
Gaetz,G000578,R,FL,10,10,1.0,100.0,7,7,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,7,9,0.777778,55.5556,5,6,0.833333,66.6667,12,12,1.0,100.0,12,12,1.0,100.0,21,21,1.0,100.0,9,9,1.0,100.0,4,7,0.571429,14.2857
Gallagher,G000579,R,WI,6,10,0.6,20.0,5,7,0.714286,42.8571,4,7,0.571429,14.2857,5,8,0.625,25.0,9,9,1.0,100.0,6,6,1.0,100.0,9,11,0.818182,63.6364,7,8,0.875,75.0,14,17,0.823529,64.7059,9,9,1.0,100.0,7,7,1.0,100.0
Gallego,G000574,D,AZ,3,10,0.3,-40.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,8,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,12,0.083333,-83.3333,0,19,0.0,-100.0,0,9,0.0,-100.0,2,9,0.222222,-55.5556
Garamendi,G000559,D,CA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,11,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,14,0.0,-100.0,0,17,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Garbarino,G000597,R,NY,5,6,0.833333,66.6667,11,13,0.846154,69.2308,9,10,0.9,80.0,22,25,0.88,76.0,6,11,0.545455,9.0909,17,17,1.0,100.0,19,21,0.904762,80.9524,19,21,0.904762,80.9524,16,21,0.761905,52.381,6,10,0.6,20.0,18,20,0.9,80.0
Garcia (CA),G000061,R,CA,4,7,0.571429,14.2857,5,5,1.0,100.0,5,7,0.714286,42.8571,6,7,0.857143,71.4286,8,9,0.888889,77.7778,3,3,1.0,100.0,10,11,0.909091,81.8182,11,11,1.0,100.0,15,18,0.833333,66.6667,5,9,0.555556,11.1111,6,6,1.0,100.0
García (IL),G000586,D,IL,0,9,0.0,-100.0,0,14,0.0,-100.0,0,12,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,1,20,0.05,-90.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,2,21,0.095238,-80.9524
Garcia (TX),G000587,D,TX,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,1,19,0.052632,-89.4737,0,22,0.0,-100.0,0,22,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Gibbs,G000563,R,OH,4,5,0.8,60.0,4,4,1.0,100.0,4,6,0.666667,33.3333,5,6,0.833333,66.6667,7,7,1.0,100.0,5,6,0.833333,66.6667,11,12,0.916667,83.3333,8,11,0.727273,45.4545,17,19,0.894737,78.9474,7,9,0.777778,55.5556,3,5,0.6,20.0
Gimenez,G000593,R,FL,6,6,1.0,100.0,10,13,0.769231,53.8462,9,10,0.9,80.0,23,25,0.92,84.0,10,11,0.909091,81.8182,15,17,0.882353,76.4706,19,21,0.904762,80.9524,20,21,0.952381,90.4762,18,21,0.857143,71.4286,8,10,0.8,60.0,19,20,0.95,90.0
Gohmert,G000552,R,TX,7,7,1.0,100.0,4,4,1.0,100.0,5,5,1.0,100.0,4,4,1.0,100.0,7,7,1.0,100.0,4,4,1.0,100.0,10,10,1.0,100.0,10,10,1.0,100.0,18,18,1.0,100.0,9,9,1.0,100.0,6,6,1.0,100.0
Golden,G000592,D,ME,5,12,0.416667,-16.6667,2,15,0.133333,-73.3333,2,11,0.181818,-63.6364,11,27,0.407407,-18.5185,4,11,0.363636,-27.2727,9,20,0.45,-10.0,5,20,0.25,-50.0,11,24,0.458333,-8.3333,11,26,0.423077,-15.3846,0,10,0.0,-100.0,7,23,0.304348,-39.1304
Gomez,G000585,D,CA,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,1,19,0.052632,-89.4737,0,20,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
"Gonzales, Tony",G000594,R,TX,5,6,0.833333,66.6667,9,12,0.75,50.0,7,7,1.0,100.0,25,25,1.0,100.0,8,11,0.727273,45.4545,12,14,0.857143,71.4286,17,19,0.894737,78.9474,19,20,0.95,90.0,16,22,0.727273,45.4545,8,10,0.8,60.0,19,20,0.95,90.0
Gonzalez (OH),G000588,R,OH,2,7,0.285714,-42.8571,1,6,0.166667,-66.6667,3,6,0.5,0.0,4,6,0.666667,33.3333,4,7,0.571429,14.2857,3,6,0.5,0.0,3,12,0.25,-50.0,10,11,0.909091,81.8182,9,19,0.473684,-5.2632,2,9,0.222222,-55.5556,4,7,0.571429,14.2857
"Gonzalez, Vicente",G000581,D,TX,2,12,0.166667,-66.6667,4,15,0.266667,-46.6667,3,11,0.272727,-45.4545,12,27,0.444444,-11.1111,1,11,0.090909,-81.8182,10,20,0.5,0.0,7,20,0.35,-30.0,8,24,0.333333,-33.3333,5,26,0.192308,-61.5385,0,10,0.0,-100.0,7,23,0.304348,-39.1304
Good (VA),G000595,R,VA,4,4,1.0,100.0,5,5,1.0,100.0,5,5,1.0,100.0,5,5,1.0,100.0,9,9,1.0,100.0,3,3,1.0,100.0,11,11,1.0,100.0,10,11,0.909091,81.8182,18,18,1.0,100.0,7,7,1.0,100.0,4,6,0.666667,33.3333
Gooden (TX),G000589,R,TX,11,11,1.0,100.0,13,13,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,23,23,1.0,100.0
Gosar,G000565,R,AZ,12,12,1.0,100.0,15,15,1.0,100.0,9,9,1.0,100.0,27,27,1.0,100.0,9,9,1.0,100.0,19,19,1.0,100.0,20,20,1.0,100.0,20,23,0.869565,73.913,22,26,0.846154,69.2308,10,10,1.0,100.0,18,20,0.9,80.0
Gottheimer,G000583,D,NJ,0,12,0.0,-100.0,3,13,0.230769,-53.8462,1,12,0.083333,-83.3333,4,24,0.166667,-66.6667,3,11,0.272727,-45.4545,3,19,0.157895,-68.4211,0,19,0.0,-100.0,1,17,0.058824,-88.2353,0,24,0.0,-100.0,2,10,0.2,-60.0,4,20,0.2,-60.0
Granger,G000377,R,TX,5,10,0.5,0.0,4,7,0.571429,14.2857,5,7,0.714286,42.8571,4,8,0.5,0.0,6,9,0.666667,33.3333,3,6,0.5,0.0,10,12,0.833333,66.6667,8,11,0.727273,45.4545,14,19,0.736842,47.3684,5,9,0.555556,11.1111,5,7,0.714286,42.8571
Graves (LA),G000577,R,LA,6,8,0.75,50.0,3,7,0.428571,-14.2857,7,7,1.0,100.0,4,7,0.571429,14.2857,5,7,0.714286,42.8571,6,6,1.0,100.0,12,12,1.0,100.0,10,13,0.769231,53.8462,12,21,0.571429,14.2857,6,9,0.666667,33.3333,7,8,0.875,75.0
Graves (MO),G000546,R,MO,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,24,0.958333,91.6667,21,26,0.807692,61.5385,10,10,1.0,100.0,23,23,1.0,100.0
Green (TN),G000590,R,TN,11,12,0.916667,83.3333,12,12,1.0,100.0,9,11,0.818182,63.6364,13,13,1.0,100.0,9,9,1.0,100.0,18,18,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,10,10,1.0,100.0,16,16,1.0,100.0
"Green, Al (TX)",G000553,D,TX,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Greene (GA),G000596,R,GA,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,20,22,0.909091,81.8182,9,10,0.9,80.0,17,17,1.0,100.0,21,21,1.0,100.0,20,21,0.952381,90.4762,19,19,1.0,100.0,10,10,1.0,100.0,14,16,0.875,75.0
Griffith,G000568,R,VA,10,11,0.909091,81.8182,15,15,1.0,100.0,10,10,1.0,100.0,25,27,0.925926,85.1852,8,11,0.727273,45.4545,20,20,1.0,100.0,22,22,1.0,100.0,22,24,0.916667,83.3333,21,26,0.807692,61.5385,10,10,1.0,100.0,21,23,0.913043,82.6087
Grijalva,G000551,D,AZ,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,1,6,0.166667,-66.6667,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,2,7,0.285714,-42.8571
Grothman,G000576,R,WI,12,12,1.0,100.0,15,15,1.0,100.0,10,11,0.909091,81.8182,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,17,20,0.85,70.0,23,24,0.958333,91.6667,22,26,0.846154,69.2308,10,10,1.0,100.0,23,23,1.0,100.0
Guest,G000591,R,MS,9,12,0.75,50.0,13,15,0.866667,73.3333,12,12,1.0,100.0,26,27,0.962963,92.5926,11,11,1.0,100.0,19,20,0.95,90.0,21,22,0.954545,90.9091,23,23,1.0,100.0,22,24,0.916667,83.3333,10,10,1.0,100.0,21,23,0.913043,82.6087
Guthrie,G000558,R,KY,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,11,11,1.0,100.0,19,20,0.95,90.0,22,22,1.0,100.0,21,23,0.913043,82.6087,23,26,0.884615,76.9231,10,10,1.0,100.0,19,21,0.904762,80.9524
